hour(started_at),member_casual,number_of_rides,avgtime_mins
0,Customer,50856,1859.9836990718893
1,Customer,32801,2153.7692448400962
2,Customer,19950,2254.6737343358395
3,Customer,11487,2457.2495864890748
4,Customer,8148,2165.1915807560135
5,Customer,14257,1546.3524584414674
6,Customer,35986,1330.1977713555273
7,Customer,61579,1077.1011058964907
8,Customer,82712,1166.0842320340457
9,Customer,83417,1523.91414220123
10,Customer,104944,1854.2626638969355
11,Customer,135162,1903.3596942927745
12,Customer,160374,1840.0934752515993
13,Customer,167960,1830.727024291498
14,Customer,178894,1884.7163627623063
15,Customer,200511,1824.000688241543
16,Customer,226744,1667.8242731891473
17,Customer,251216,1563.6932122157825
18,Customer,221836,1616.497096954507
19,Customer,169156,1689.4237153869801
20,Customer,124743,1668.3870036795652
21,Customer,106070,1636.7553502404073
22,Customer,93960,1598.9707428693062
23,Customer,70249,1766.8082392631925
0,Subscriber,41212,734.4934242453654
1,Subscriber,24965,779.9280592829962
2,Subscriber,14478,779.7063820969747
3,Subscriber,9005,782.5505830094392
4,Subscriber,9983,775.5767805268957
5,Subscriber,36817,619.0334899638754
6,Subscriber,111076,641.3958550902086
7,Subscriber,204492,684.051219607613
8,Subscriber,249324,678.8975309236174
9,Subscriber,172071,696.1889045800862
10,Subscriber,158668,754.3734275342224
11,Subscriber,187867,766.8661074057711
12,Subscriber,214995,742.8844112653783
13,Subscriber,213820,747.8877607333271
14,Subscriber,215798,772.358279502127
15,Subscriber,261722,769.1740090630517
16,Subscriber,349542,783.324913744271
17,Subscriber,415485,803.5677822304054
18,Subscriber,333719,793.0483220913403
19,Subscriber,241530,777.5447149422433
20,Subscriber,170083,759.1283255822157
21,Subscriber,132466,746.975193634593
22,Subscriber,100429,745.293202162722
23,Subscriber,65449,755.9328331983683
