month,year,member_casual,number_of_rides,avgtime_mins
6,2022,Customer,369022,1926.0914335730658
7,2022,Customer,406013,1756.8735114392891
8,2022,Customer,358886,1758.79092803843
9,2022,Customer,296664,1679.297457729957
10,2022,Customer,208961,1583.4577648460715
11,2022,Customer,100742,1278.0904587957357
12,2022,Customer,44891,1337.463233164777
1,2023,Customer,40005,1374.9935008123985
2,2023,Customer,43014,1391.6156832659133
3,2023,Customer,62194,1284.8811300125415
4,2023,Customer,147269,1660.5457971467179
5,2023,Customer,234153,1711.3945753417638
6,2023,Customer,301198,1764.5803092982026
6,2022,Subscriber,400116,840.0232957442341
7,2022,Subscriber,417403,823.1639758219275
8,2022,Subscriber,426969,803.1251589693866
9,2022,Subscriber,404603,778.6191699023487
10,2022,Subscriber,349659,717.5951998947546
11,2022,Subscriber,236935,667.9508261759554
12,2022,Subscriber,136901,637.220465884106
1,2023,Subscriber,150288,621.7265383796445
2,2023,Subscriber,147422,642.8880764065065
3,2023,Subscriber,196465,626.5715420049372
4,2023,Subscriber,279285,701.6767423957606
5,2023,Subscriber,370603,782.4890921012512
6,2023,Subscriber,418347,792.0881756054184
